turnstilelink_link_1,turnstilelink_link_1/_text,turnstilelink_link_1/_title,company_link,company_link/_text,company_link/_title,company_value,label,turnstilelink_link_2,turnstilelink_link_2/_text,turnstilelink_link_2/_title,turnstilelink_link_2_numbers,ratingnumber_number,slnounderline_value,slnounderline_value_numbers,value,location_value_1,location_value_2,moreloc_link,moreloc_link/_text,moreloc_link/_title,moreloc_link_numbers,snip_value,snip_value_prices,summary_description,summary_description_prices,ialabel_value,resultlink_content,resultlink_content_numbers,resultlink_links,resultlink_links/_text,resultlink_links/_title,viewall_label,viewall_link,viewall_link/_text,viewall_link/_title,mat_link,mat_link/_text,mat_link/_title,salarysearch_label,salarysearch_link,salarysearch_link/_text,salarysearch_link/_title,mat_content,mat_links,mat_links/_text,mat_links/_title,moreactions_content,moreactions_links,moreactions_links/_text,moreactions_links/_title,"_PAGE_NUMBER"
"http://www.indeed.com/rc/clk?jk=3cfcb77282b6dbe0&fccid=4ffdd90de5b0ef8f","Senior Data Scientist","Senior Data Scientist","http://www.indeed.com/cmp/Kaplan?from=SERP&campaignid=serp-linkcompanyname&fromjk=3cfcb77282b6dbe0&jcid=4ffdd90de5b0ef8f","Kaplan","","","-","http://www.indeed.com/cmp/Kaplan/reviews?jcid=4ffdd90de5b0ef8f","3.7913 reviews","Kaplan reviews","3.7913","3.7","913 reviews","913","-","Chicago, IL","","","","","","","","Metis Senior Data Scientists provide incredible and inspiring Data Science instruction; We are looking for Senior Data Scientists to be part of the Metis Data...","","","15 days ago - save job - email - more...","15","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Kaplan-l-Chicago,-IL-jobs.html","Kaplan jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Senior+Data+Scientist&l1=Chicago%2C+IL","Senior Data Scientist salaries in Chicago, IL","","Learn more about working at Kaplan","http://www.indeed.com/cmp/Kaplan?fromjk=3cfcb77282b6dbe0&from=serp-more&campaignid=serp-more&jcid=4ffdd90de5b0ef8f","Kaplan","","Related forums: Kaplan - Chicago, Illinois","http://www.indeed.com/forum/cmp/Kaplan.html; http://www.indeed.com/forum/loc/Chicago-Illinois.html","Kaplan; Chicago, Illinois","","1"
"http://www.indeed.com/rc/clk?jk=29c422adb8273f20&fccid=fd65b0ddea490dd3","Assistant Director, Advanced Analytics","Assistant Director, Advanced Analytics","http://www.indeed.com/cmp/Chicago-Cubs?from=SERP&campaignid=serp-linkcompanyname&fromjk=29c422adb8273f20&jcid=fd65b0ddea490dd3","Chicago Cubs","","","-","http://www.indeed.com/cmp/Chicago-Cubs/reviews?jcid=fd65b0ddea490dd3","4.219 reviews","Chicago Cubs reviews","4.219","4.2","19 reviews","19","-","Chicago, IL","","","","","","","","Analytics, data, big data, analytical, analytic, data scientist. Intermediate to advanced programming skills enabling the individual to extract and manipulate...","","","5 days ago - save job - email - more...","5","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Chicago-Cubs-l-Chicago,-IL-jobs.html","Chicago Cubs jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Assistant+Director&l1=Chicago%2C+IL","Assistant Director salaries in Chicago, IL","","Learn more about working at Chicago Cubs","http://www.indeed.com/cmp/Chicago-Cubs?fromjk=29c422adb8273f20&from=serp-more&campaignid=serp-more&jcid=fd65b0ddea490dd3","Chicago Cubs","","Related forums: Chicago, Illinois - Chicago Cubs","http://www.indeed.com/forum/loc/Chicago-Illinois.html; http://www.indeed.com/forum/cmp/Chicago-Cubs.html","Chicago, Illinois; Chicago Cubs","","1"
"http://www.indeed.com/rc/clk?jk=b6c94e3cc562ff5a&fccid=fe2d21eef233e94a","Data Scientist - Chicago","Data Scientist - Chicago","http://www.indeed.com/cmp/Amazon.com?from=SERP&campaignid=serp-linkcompanyname&fromjk=b6c94e3cc562ff5a&jcid=12db64101709fb92","Amazon Web Services, Inc.","","","-","http://www.indeed.com/cmp/Amazon.com/reviews?jcid=12db64101709fb92","3.78,561 reviews","Amazon Web Services reviews","378.561","3.7","8,561 reviews","8561","-","Chicago, IL","","","","","","","","Interested in creating new state-of-the-art solutions using Machine Learning and Data Mining techniques on Terabytes of Data?...","","","Amazon.com - 11 days ago - save job - email - more...","-11","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/jobs?q=Amazon+Web+Services,+Inc&l=Chicago,+IL&nc=jasx","Amazon Web Services, Inc. jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Chicago%2C+IL","Data Scientist salaries in Chicago, IL","","Learn more about working at Amazon Web Services, Inc.","http://www.indeed.com/cmp/Amazon.com?fromjk=b6c94e3cc562ff5a&from=serp-more&campaignid=serp-more&jcid=12db64101709fb92","Amazon Web Services, Inc.","","Related forums: Chicago, Illinois","http://www.indeed.com/forum/loc/Chicago-Illinois.html","Chicago, Illinois","","1"
"http://www.indeed.com/rc/clk?jk=24e23f4004a392ad&fccid=678f67d41be20380","Data Scientist","Data Scientist","","","","Brad's Deals","-","","","","","","","","","Chicago, IL","","","","","","","","Brad’s Deals is looking for an experienced data scientist to join our team. Develop recommender systems based on behavioral data....","","","12 days ago - save job - email - more...","12","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/jobs?q=Brad%27s+Deals&l=Chicago,+IL","Brad's Deals jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Chicago%2C+IL","Data Scientist salaries in Chicago, IL","","Related forums: Chicago, Illinois - Brad's Deals","http://www.indeed.com/forum/loc/Chicago-Illinois.html; http://www.indeed.com/forum/cmp/Brad%27s-Deals.html","Chicago, Illinois; Brad's Deals","","","","","","1"
"http://www.indeed.com/rc/clk?jk=55b8b790509a3f2a&fccid=ded9605952442cb4","Think Big Principal Data Scientist","Think Big Principal Data Scientist","http://www.indeed.com/cmp/Teradata?from=SERP&campaignid=serp-linkcompanyname&fromjk=55b8b790509a3f2a&jcid=ded9605952442cb4","Teradata","","","-","http://www.indeed.com/cmp/Teradata/reviews?jcid=ded9605952442cb4","3.967 reviews","Teradata reviews","3.967","3.9","67 reviews","67","-","Chicago, IL 60661","(Near West Side area)","","","","","","","Mentor other data scientists. As a Principal Data Scientist, you will:. Ideal Principal Data Scientist candidates have this additional experience:....","","","8 days ago - save job - email - more...","8","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Teradata-l-Chicago,-IL-jobs.html","Teradata jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Think+Big+Principal+Data+Scientist&l1=Chicago%2C+IL","Think Big Principal Data Scientist salaries in Chicago, IL","","Learn more about working at Teradata","http://www.indeed.com/cmp/Teradata?fromjk=55b8b790509a3f2a&from=serp-more&campaignid=serp-more&jcid=ded9605952442cb4","Teradata","","Related forums: Chicago, Illinois - Teradata","http://www.indeed.com/forum/loc/Chicago-Illinois.html; http://www.indeed.com/forum/cmp/Teradata.html","Chicago, Illinois; Teradata","","1"
"http://www.indeed.com/cmp/Workbridge-Associates/jobs/Mid-Level-Data-Scientist-192d3aa858cfaea1?r=1&fccid=a6920e0a635e5c4e","Mid-Level Data Scientist","Mid-Level Data Scientist","http://www.indeed.com/cmp/Workbridge-Associates?from=SERP&campaignid=serp-linkcompanyname&fromjk=192d3aa858cfaea1&jcid=a6920e0a635e5c4e","Workbridge Associates","","","-","http://www.indeed.com/cmp/Workbridge-Associates/reviews?jcid=a6920e0a635e5c4e","3.420 reviews","Workbridge Associates reviews","3.42","3.4","20 reviews","20","-","Chicago, IL","","","","","","$105,000 a year","105000","Data, Analytics, Scientist, Science, Python, R, SAS, SQL, Hadoop, Tableau, Analysis, Healthcare, Hospital, University, Career, Job, Chicago, IL,....","","Easily apply","6 days ago - save job - email - more...","6","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Workbridge-Associates-l-Chicago,-IL-jobs.html","Workbridge Associates jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Mid+Level+Data+Scientist&l1=Chicago%2C+IL","Mid Level Data Scientist salaries in Chicago, IL","","Learn more about working at Workbridge Associates","http://www.indeed.com/cmp/Workbridge-Associates?fromjk=192d3aa858cfaea1&from=serp-more&campaignid=serp-more&jcid=a6920e0a635e5c4e","Workbridge Associates","","Related forums: Chicago, Illinois - Workbridge Associates","http://www.indeed.com/forum/loc/Chicago-Illinois.html; http://www.indeed.com/forum/cmp/Workbridge-Associates.html","Chicago, Illinois; Workbridge Associates","","1"
"http://www.indeed.com/rc/clk?jk=2ffc6cedea4acd9f&fccid=ab22e7c357e67bd4","Data Scientist","Data Scientist","","","","Vizient, Inc.","-","","","","","","","","","Chicago, IL","","","","","","","","Conducts exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities....","","","14 days ago - save job - email - more...","14","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/jobs?q=Vizient,+Inc&l=Chicago,+IL&nc=jasx","Vizient, Inc. jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Chicago%2C+IL","Data Scientist salaries in Chicago, IL","","Learn more about working at Vizient, Inc.","http://www.indeed.com/cmp/Vizient,-Inc.?fromjk=2ffc6cedea4acd9f&from=serp-more&campaignid=serp-more&jcid=c9e0fd3569d70df2","Vizient, Inc.","","Related forums: Chicago, Illinois","http://www.indeed.com/forum/loc/Chicago-Illinois.html","Chicago, Illinois","","1"
"http://www.indeed.com/rc/clk?jk=48709399a6431663&fccid=726e03a9dc9404b6","Statistician","Statistician","","","","Etech Hi Inc.","-","","","","","","","","","Chicago, IL","","","","","","$71,000 a year","71000","Create annual/quarterly reports to monitor data quality and provide descriptive reports on datasets. Provide statistical consulting for the development and...","","","14 days ago - save job - email - more...","14","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/jobs?q=Etech+Hi+Inc&l=Chicago,+IL&nc=jasx","Etech Hi Inc. jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Statistician&l1=Chicago%2C+IL","Statistician salaries in Chicago, IL","","Learn more about working at Etech Hi Inc.","http://www.indeed.com/cmp/Etech-Hi-Inc.?fromjk=48709399a6431663&from=serp-more&campaignid=serp-more&jcid=726e03a9dc9404b6","Etech Hi Inc.","","Related forums: Chicago, Illinois - Statistician","http://www.indeed.com/forum/loc/Chicago-Illinois.html; http://www.indeed.com/forum/job/Statistician.html","Chicago, Illinois; Statistician","","1"
"http://www.indeed.com/rc/clk?jk=0e6c65cb0fc80774&fccid=3af6d58597b2bdab","Data Scientist","Data Scientist","","","","Centro","-","","","","","","","","","Chicago, IL","","","","","","","","We are seeking a talented Data Scientist who can help transform the data created from these activities into actionable information....","","","22 days ago - save job - email - more...","22","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Centro-l-Chicago,-IL-jobs.html","Centro jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Chicago%2C+IL","Data Scientist salaries in Chicago, IL","","Learn more about working at Centro","http://www.indeed.com/cmp/Centro-2?fromjk=0e6c65cb0fc80774&from=serp-more&campaignid=serp-more&jcid=79bb07c74c0ae378","Centro","","Related forums: Chicago, Illinois - Centro","http://www.indeed.com/forum/loc/Chicago-Illinois.html; http://www.indeed.com/forum/cmp/Centro-2.html","Chicago, Illinois; Centro","","1"
"http://www.indeed.com/cmp/Erikson-Institute/jobs/Research-Analyst-57da6ba2df9b4c3a?r=1&fccid=7c39a12bc8965dad","Research Analyst","Research Analyst","http://www.indeed.com/cmp/Erikson-Institute?from=SERP&campaignid=serp-linkcompanyname&fromjk=57da6ba2df9b4c3a&jcid=7c39a12bc8965dad","Erikson Institute","","","-","http://www.indeed.com/cmp/Erikson-Institute/reviews?jcid=7c39a12bc8965dad","4.34 reviews","Erikson Institute reviews","4.34","4.3","4 reviews","4","-","Chicago, IL 60654","(Loop area)","","","","","","","Maintain well-organized data files; Download, enter, and clean data; Participate in developing data analysis plans;...","","Easily apply","1 day ago - save job - email - more...","1","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Erikson-Institute-l-Chicago,-IL-jobs.html","Erikson Institute jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Research+Analyst&l1=Chicago%2C+IL","Research Analyst salaries in Chicago, IL","","Learn more about working at Erikson Institute","http://www.indeed.com/cmp/Erikson-Institute?fromjk=57da6ba2df9b4c3a&from=serp-more&campaignid=serp-more&jcid=7c39a12bc8965dad","Erikson Institute","","Related forums: Erikson Institute - Chicago, Illinois - Research Analyst","http://www.indeed.com/forum/cmp/Erikson-Institute.html; http://www.indeed.com/forum/loc/Chicago-Illinois.html; http://www.indeed.com/forum/job/Research-Analyst.html","Erikson Institute; Chicago, Illinois; Research Analyst","","1"
"http://www.indeed.com/rc/clk?jk=bc0ac15f3e13d5f8&fccid=2df6a1e69a70a1e7","Data Scientist – People Analytics","Data Scientist – People Analytics","http://www.indeed.com/cmp/Cognizant-Technology-Solutions?from=SERP&campaignid=serp-linkcompanyname&fromjk=bc0ac15f3e13d5f8&jcid=29a9af87de93d231","Cognizant","","","-","http://www.indeed.com/cmp/Cognizant-Technology-Solutions/reviews?jcid=29a9af87de93d231","4.04,330 reviews","Cognizant reviews","404.33","4","4,330 reviews","4330","-","Chicago, IL","","","","","","","","In addition, the Data Scientist must be able to access data from disparate systems, link, cleanse and integrate data, and create data sets to answer specific...","","","27 days ago - save job - email - more...","27","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Cognizant-l-Chicago,-IL-jobs.html","Cognizant jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist+People+Analytic&l1=Chicago%2C+IL","Data Scientist People Analytic salaries in Chicago, IL","","Learn more about working at Cognizant","http://www.indeed.com/cmp/Cognizant-Technology-Solutions?fromjk=bc0ac15f3e13d5f8&from=serp-more&campaignid=serp-more&jcid=29a9af87de93d231","Cognizant","","Related forums: Chicago, Illinois - Cognizant Technology Solutions","http://www.indeed.com/forum/loc/Chicago-Illinois.html; http://www.indeed.com/forum/cmp/Cognizant-Technology-Solutions.html","Chicago, Illinois; Cognizant Technology Solutions","","1"
"http://www.indeed.com/cmp/technocraft/jobs/Data-Scientist-f6563f1b4e9ea82a?r=1&fccid=772ec484330601fd","Data Scientist (USC/GC only)","Data Scientist (USC/GC only)","","","","Technocraft","-","","","","","","","","","Chicago, IL","","","","","","","","Data Scientist with Neural Network and AI:. NEED LOCAL US CITIZEN OR GREEN CARD ONLY (FACE TO FACE INTERVIEW)*....","","Easily apply","7 days ago - save job - email - more...","7","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Technocraft-l-Chicago,-IL-jobs.html","Technocraft jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Chicago%2C+IL","Data Scientist salaries in Chicago, IL","","Learn more about working at Technocraft","http://www.indeed.com/cmp/Technocraft?fromjk=f6563f1b4e9ea82a&from=serp-more&campaignid=serp-more&jcid=6e3274f261adae67","Technocraft","","Related forums: Chicago, Illinois - technocraft","http://www.indeed.com/forum/loc/Chicago-Illinois.html; http://www.indeed.com/forum/cmp/Technocraft.html","Chicago, Illinois; technocraft","","1"
"http://www.indeed.com/cmp/Technocraft-solutions-LLc/jobs/Data-Scientist-9e53577d261e2ed9?r=1&fccid=3cefb3bed251857c","Data Scientist (USC/GC only)","Data Scientist (USC/GC only)","","","","Technocraft solutions LLc","-","","","","","","","","","Chicago, IL","","","","","","","","Data Scientist with Neural Network and AI:. NEED LOCAL US CITIZEN OR GREEN CARD ONLY (FACE TO FACE INTERVIEW)*....","","Easily apply","7 days ago - save job - email - more...","7","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/jobs?q=Technocraft+Solutions+LLC&l=Chicago,+IL&nc=jasx","Technocraft solutions LLc jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Chicago%2C+IL","Data Scientist salaries in Chicago, IL","","Learn more about working at Technocraft Solutions LLC","http://www.indeed.com/cmp/Technocraft-Solutions-LLC?fromjk=9e53577d261e2ed9&from=serp-more&campaignid=serp-more&jcid=8a2e545435ef5f07","Technocraft Solutions LLC","","Related forums: Chicago, Illinois - Technocraft solutions LLc","http://www.indeed.com/forum/loc/Chicago-Illinois.html; http://www.indeed.com/forum/cmp/Technocraft-Solutions-LLC.html","Chicago, Illinois; Technocraft solutions LLc","","1"
"http://www.indeed.com/rc/clk?jk=50cd6df1e57cdcc0&fccid=36c3417f8560eab4","Data Scientist","Data Scientist","http://www.indeed.com/cmp/Mattersight?from=SERP&campaignid=serp-linkcompanyname&fromjk=50cd6df1e57cdcc0&jcid=36c3417f8560eab4","Mattersight","","","-","http://www.indeed.com/cmp/Mattersight/reviews?jcid=36c3417f8560eab4","4.02 reviews","Mattersight reviews","4.02","4","2 reviews","2","-","Chicago, IL","","","","","","","","The Data Scientist role will be based out of Mattersight’s Chicago location; The Data Scientist responsibilities include, but are not limited to, the following...","","","19 days ago - save job - email - more...","19","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Mattersight-l-Chicago,-IL-jobs.html","Mattersight jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Chicago%2C+IL","Data Scientist salaries in Chicago, IL","","Learn more about working at Mattersight","http://www.indeed.com/cmp/Mattersight?fromjk=50cd6df1e57cdcc0&from=serp-more&campaignid=serp-more&jcid=36c3417f8560eab4","Mattersight","","Related forums: Chicago, Illinois - Mattersight","http://www.indeed.com/forum/loc/Chicago-Illinois.html; http://www.indeed.com/forum/cmp/Mattersight.html","Chicago, Illinois; Mattersight","","1"
"http://www.indeed.com/cmp/North-Park-University/jobs/Enrollment-Research-Data-Analyst-58c59a767b060ab9?r=1&fccid=25f5b3b226837a62","Enrollment Research & Data Analyst","Enrollment Research & Data Analyst","","","","North Park University","-","","","","","","","","","Chicago, IL 60625","(Albany Park area)","","","","","","","Serve as EM&M Data Steward, providing direction on data collection, maintenance and assurance, creating data dictionary of all student related data points for...","","Easily apply","40 minutes ago - save job - email - more...","40","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Chicago,+IL&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-North-Park-University-l-Chicago,-IL-jobs.html","North Park University jobs in Chicago, IL","","http://www.indeed.com/l-Chicago,-IL-jobs.html","Chicago jobs","","Salary Search:","http://www.indeed.com/salary?q1=Enrollment+Research+Data+Analyst&l1=Chicago%2C+IL","Enrollment Research Data Analyst salaries in Chicago, IL","","Related forums: Chicago, Illinois - North Park University","http://www.indeed.com/forum/loc/Chicago-Illinois.html; http://www.indeed.com/forum/cmp/North-Park-University-1.html","Chicago, Illinois; North Park University","","","","","","1"
