turnstilelink_link_1,turnstilelink_link_1/_text,turnstilelink_link_1/_title,company_content,company_link,company_link/_text,company_link/_title,label,turnstilelink_link_2,turnstilelink_link_2/_text,turnstilelink_link_2/_title,turnstilelink_link_2_numbers,ratingnumber_number,slnounderline_value,slnounderline_value_numbers,value,location_value,snip_value,snip_value_prices,locations_link,locations_link/_text,locations_link/_title,locations_link_numbers,summary_description,ialabel_value,resultlink_content,resultlink_content_numbers,resultlink_links,resultlink_links/_text,resultlink_links/_title,viewall_label,viewall_link,viewall_link/_text,viewall_link/_title,mat_link,mat_link/_text,mat_link/_title,salarysearch_label,salarysearch_link,salarysearch_link/_text,salarysearch_link/_title,mat_content,mat_links,mat_links/_text,mat_links/_title,moreactions_content,moreactions_links,moreactions_links/_text,moreactions_links/_title,"_PAGE_NUMBER"
"http://www.indeed.com/rc/clk?jk=1fee1cb4de0a47e3&fccid=1e5b77adc6d395cd","Data Scientist","Data Scientist","DogVacay","http://www.indeed.com/cmp/Dogvacay?from=SERP&campaignid=serp-linkcompanyname&fromjk=1fee1cb4de0a47e3&jcid=0fbef1c940a8cd3c","DogVacay","","-","http://www.indeed.com/cmp/Dogvacay/reviews?jcid=0fbef1c940a8cd3c","4.05 reviews","Dogvacay reviews","4.05","4","5 reviews","5","-","Santa Monica, CA 90401","","","","","","","Professional experience in data analytics, data science, business intelligence, statistics, or related. As our first Data Scientist ever, you’ll have the...","","7 days ago - save job - email - more...","7","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Dogvacay-l-Santa-Monica,-CA-jobs.html","DogVacay jobs in Santa Monica, CA","","http://www.indeed.com/l-Santa-Monica,-CA-jobs.html","Santa Monica jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Santa+Monica%2C+CA","Data Scientist salaries in Santa Monica, CA","","Learn more about working at Dogvacay","http://www.indeed.com/cmp/Dogvacay?fromjk=1fee1cb4de0a47e3&from=serp-more&campaignid=serp-more&jcid=0fbef1c940a8cd3c","Dogvacay","","Related forums: Santa Monica, California - DogVacay","http://www.indeed.com/forum/loc/Santa-Monica-California.html; http://www.indeed.com/forum/cmp/Dogvacay.html","Santa Monica, California; DogVacay","","1"
"http://www.indeed.com/cmp/MD-Insider/jobs/Data-Scientist-4799faa332706ca9?r=1&fccid=92a7eb247440de44","Data Scientist","Data Scientist","MD Insider","","","","-","","","","","","","","","Santa Monica, CA 90405","","","","","","","Reporting to the Director of Healthcare Analytics, the *Data Scientist*. Liaise with Healthcare experts to enhance traditional methods by applying big data...","Easily apply","2 days ago - save job - email - more...","2","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Md-Insider-l-Santa-Monica,-CA-jobs.html","MD Insider jobs in Santa Monica, CA","","http://www.indeed.com/l-Santa-Monica,-CA-jobs.html","Santa Monica jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Santa+Monica%2C+CA","Data Scientist salaries in Santa Monica, CA","","Learn more about working at Md Insider","http://www.indeed.com/cmp/Md-Insider?fromjk=4799faa332706ca9&from=serp-more&campaignid=serp-more&jcid=5a4d00fbd21960bb","Md Insider","","Related forums: MD Insider - Santa Monica, California","http://www.indeed.com/forum/cmp/Md-Insider.html; http://www.indeed.com/forum/loc/Santa-Monica-California.html","MD Insider; Santa Monica, California","","1"
"http://www.indeed.com/rc/clk?jk=0db92119611ead98&fccid=8f3c0373bcfa5520","Data Scientist","Data Scientist","Spokeo","http://www.indeed.com/cmp/Spokeo?from=SERP&campaignid=serp-linkcompanyname&fromjk=0db92119611ead98&jcid=8f3c0373bcfa5520","Spokeo","","-","http://www.indeed.com/cmp/Spokeo/reviews?jcid=8f3c0373bcfa5520","3.34 reviews","Spokeo reviews","3.34","3.3","4 reviews","4","-","Pasadena, CA","","","","","","","Leverage data munging approaches and handle imperfections in data:. Data mining approaches:. Spokeo’s Product team is looking for a Data Scientist to join us in...","Easily apply","20 hours ago - save job - email - more...","20","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Spokeo-l-Pasadena,-CA-jobs.html","Spokeo jobs in Pasadena, CA","","http://www.indeed.com/l-Pasadena,-CA-jobs.html","Pasadena jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Pasadena%2C+CA","Data Scientist salaries in Pasadena, CA","","Learn more about working at Spokeo","http://www.indeed.com/cmp/Spokeo?fromjk=0db92119611ead98&from=serp-more&campaignid=serp-more&jcid=8f3c0373bcfa5520","Spokeo","","Related forums: Pasadena, California - Spokeo","http://www.indeed.com/forum/loc/Pasadena-California.html; http://www.indeed.com/forum/cmp/Spokeo.html","Pasadena, California; Spokeo","","1"
"http://www.indeed.com/rc/clk?jk=b2f2c109eac8b7f4&fccid=f576e95c34439458","Data Scientist","Data Scientist","Connexity","http://www.indeed.com/cmp/Connexity?from=SERP&campaignid=serp-linkcompanyname&fromjk=b2f2c109eac8b7f4&jcid=f576e95c34439458","Connexity","","-","http://www.indeed.com/cmp/Connexity/reviews?jcid=f576e95c34439458","3.65 reviews","Connexity reviews","3.65","3.6","5 reviews","5","-","Los Angeles, CA","","","","","","","Senior Data Scientist. We're looking for a Data Scientist Superstar. Minimum of 3 years working as a Data Scientist....","","7 days ago - save job - email - more...","7","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Connexity-l-Los-Angeles,-CA-jobs.html","Connexity jobs in Los Angeles, CA","","http://www.indeed.com/l-Los-Angeles,-CA-jobs.html","Los Angeles jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Los+Angeles%2C+CA","Data Scientist salaries in Los Angeles, CA","","Learn more about working at Connexity","http://www.indeed.com/cmp/Connexity?fromjk=b2f2c109eac8b7f4&from=serp-more&campaignid=serp-more&jcid=f576e95c34439458","Connexity","","Related forums: Los Angeles, California - Connexity","http://www.indeed.com/forum/loc/Los-Angeles-California.html; http://www.indeed.com/forum/cmp/Connexity.html","Los Angeles, California; Connexity","","1"
"http://www.indeed.com/rc/clk?jk=f5bee9106c077924&fccid=8f3c0373bcfa5520","Data Scientist – Data/Product Analytics","Data Scientist – Data/Product Analytics","Spokeo","http://www.indeed.com/cmp/Spokeo?from=SERP&campaignid=serp-linkcompanyname&fromjk=f5bee9106c077924&jcid=8f3c0373bcfa5520","Spokeo","","-","http://www.indeed.com/cmp/Spokeo/reviews?jcid=8f3c0373bcfa5520","3.34 reviews","Spokeo reviews","3.34","3.3","4 reviews","4","-","Pasadena, CA","","","","","","","Experience with both traditional and distributed data storage systems. This role will focus on collaborating with data engineers to build and enhance our...","Easily apply","10 days ago - save job - email - more...","10","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Spokeo-l-Pasadena,-CA-jobs.html","Spokeo jobs in Pasadena, CA","","http://www.indeed.com/l-Pasadena,-CA-jobs.html","Pasadena jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist+Data+Product+Analytic&l1=Pasadena%2C+CA","Data Scientist Data Product Analytic salaries in Pasadena, CA","","Learn more about working at Spokeo","http://www.indeed.com/cmp/Spokeo?fromjk=f5bee9106c077924&from=serp-more&campaignid=serp-more&jcid=8f3c0373bcfa5520","Spokeo","","Related forums: Pasadena, California - Spokeo","http://www.indeed.com/forum/loc/Pasadena-California.html; http://www.indeed.com/forum/cmp/Spokeo.html","Pasadena, California; Spokeo","","1"
"http://www.indeed.com/rc/clk?jk=d22e4ed4ef013972&fccid=0b4439b9e8944c36","Data Scientist IV","Data Scientist IV","Jet Propulsion Laboratory","http://www.indeed.com/cmp/Jet-Propulsion-Laboratory?from=SERP&campaignid=serp-linkcompanyname&fromjk=d22e4ed4ef013972&jcid=0b4439b9e8944c36","Jet Propulsion Laboratory","","-","http://www.indeed.com/cmp/Jet-Propulsion-Laboratory/reviews?jcid=0b4439b9e8944c36","4.252 reviews","Jet Propulsion Laboratory reviews","4.252","4.2","52 reviews","52","-","Pasadena, CA","","","","","","","Will provide expertise across all aspects of the instrument data lifecycle for JPL flight missions, including understanding end-science user needs, data...","","1 day ago - save job - email - more...","1","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Jet-Propulsion-Laboratory-l-Pasadena,-CA-jobs.html","Jet Propulsion Laboratory jobs in Pasadena, CA","","http://www.indeed.com/l-Pasadena,-CA-jobs.html","Pasadena jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Pasadena%2C+CA","Data Scientist salaries in Pasadena, CA","","Learn more about working at Jet Propulsion Laboratory","http://www.indeed.com/cmp/Jet-Propulsion-Laboratory?fromjk=d22e4ed4ef013972&from=serp-more&campaignid=serp-more&jcid=0b4439b9e8944c36","Jet Propulsion Laboratory","","Related forums: Pasadena, California - Jet Propulsion Laboratory","http://www.indeed.com/forum/loc/Pasadena-California.html; http://www.indeed.com/forum/cmp/Jet-Propulsion-Laboratory.html","Pasadena, California; Jet Propulsion Laboratory","","1"
"http://www.indeed.com/rc/clk?jk=11f1aa8a5dc8661e&fccid=aa53b551f9df0210","Science Data Archivist","Science Data Archivist","Raytheon","http://www.indeed.com/cmp/Raytheon?from=SERP&campaignid=serp-linkcompanyname&fromjk=11f1aa8a5dc8661e&jcid=aa53b551f9df0210","Raytheon","","-","http://www.indeed.com/cmp/Raytheon/reviews?jcid=aa53b551f9df0210","4.01,200 reviews","Raytheon reviews","401.2","4","1,200 reviews","1200","-","Pasadena, CA 91107","","","","","","","Raytheon-Pasadena is seeking an experienced, highly motivated Science Data Archivist to support multiple programs within our NASA portfolio....","","11 days ago - save job - email - more...","11","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Raytheon-l-Pasadena,-CA-jobs.html","Raytheon jobs in Pasadena, CA","","http://www.indeed.com/l-Pasadena,-CA-jobs.html","Pasadena jobs","","Salary Search:","http://www.indeed.com/salary?q1=Science+Data+Archivist&l1=Pasadena%2C+CA","Science Data Archivist salaries in Pasadena, CA","","Learn more about working at Raytheon","http://www.indeed.com/cmp/Raytheon?fromjk=11f1aa8a5dc8661e&from=serp-more&campaignid=serp-more&jcid=aa53b551f9df0210","Raytheon","","Related forums: Raytheon - Pasadena, California","http://www.indeed.com/forum/cmp/Raytheon.html; http://www.indeed.com/forum/loc/Pasadena-California.html","Raytheon; Pasadena, California","","1"
"http://www.indeed.com/rc/clk?jk=23fcf97526fe778c&fccid=0c8e8d603a41121d","Data Scientist / BI Developer","Data Scientist / BI Developer","DreamWorks Animation","http://www.indeed.com/cmp/Dreamworks-Animation?from=SERP&campaignid=serp-linkcompanyname&fromjk=23fcf97526fe778c&jcid=0c8e8d603a41121d","DreamWorks Animation","","-","http://www.indeed.com/cmp/Dreamworks-Animation/reviews?jcid=0c8e8d603a41121d","4.522 reviews","Dreamworks Animation reviews","4.522","4.5","22 reviews","22","-","Glendale, CA 91201","","","","","","","Work closely with the Big Data Services team in building visual analytics solutions around data - from a distributed hybrid data platform....","","30+ days ago - save job - email - more...","30","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Dreamworks-Animation-l-Glendale,-CA-jobs.html","DreamWorks Animation jobs in Glendale, CA","","http://www.indeed.com/l-Glendale,-CA-jobs.html","Glendale jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Glendale%2C+CA","Data Scientist salaries in Glendale, CA","","Learn more about working at Dreamworks Animation","http://www.indeed.com/cmp/Dreamworks-Animation?fromjk=23fcf97526fe778c&from=serp-more&campaignid=serp-more&jcid=0c8e8d603a41121d","Dreamworks Animation","","Related forums: Glendale, California - DreamWorks Animation","http://www.indeed.com/forum/loc/Glendale-California.html; http://www.indeed.com/forum/cmp/Dreamworks-Animation.html","Glendale, California; DreamWorks Animation","","1"
"http://www.indeed.com/rc/clk?jk=1953f5336fa47344&fccid=7455773bace145da","Data Scientist","Data Scientist","University of Southern California","http://www.indeed.com/cmp/University-of-Southern-California?from=SERP&campaignid=serp-linkcompanyname&fromjk=1953f5336fa47344&jcid=7455773bace145da","University of Southern California","","-","http://www.indeed.com/cmp/University-of-Southern-California/reviews?jcid=7455773bace145da","4.2341 reviews","University of Southern California reviews","4.2341","4.2","341 reviews","341","-","Los Angeles, CA","","","","","","","Extract data from various data sources using SQL. Data Science (80%):. University Advancement is seeking a Data Scientist to join its team and create analytical...","","30+ days ago - save job - email - more...","30","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-University-of-Southern-California-l-Los-Angeles,-CA-jobs.html","University of Southern California jobs in Los Angeles, CA","","http://www.indeed.com/l-Los-Angeles,-CA-jobs.html","Los Angeles jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Los+Angeles%2C+CA","Data Scientist salaries in Los Angeles, CA","","Learn more about working at University of Southern California","http://www.indeed.com/cmp/University-of-Southern-California?fromjk=1953f5336fa47344&from=serp-more&campaignid=serp-more&jcid=7455773bace145da","University of Southern California","","Related forums: University of Southern California - Los Angeles, California","http://www.indeed.com/forum/cmp/University-of-Southern-California.html; http://www.indeed.com/forum/loc/Los-Angeles-California.html","University of Southern California; Los Angeles, California","","1"
"http://www.indeed.com/cmp/Goldline/jobs/Data-Scientist-7738474449d75d4b?r=1&fccid=7fcc5373a5bfea6f","Data Scientist","Data Scientist","Goldline, LLC","","","","-","","","","","","","","","Los Angeles, CA 90064","","","","","","","Advanced SQL knowledge including the ability to read and comprehend relational data models, write SQL queries, use SQL to cleanse or manipulate data sets to...","Easily apply","9 days ago - save job - email - more...","9","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/jobs?q=Goldline,+LLC&l=Los+Angeles,+CA&nc=jasx","Goldline, LLC jobs in Los Angeles, CA","","http://www.indeed.com/l-Los-Angeles,-CA-jobs.html","Los Angeles jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Los+Angeles%2C+CA","Data Scientist salaries in Los Angeles, CA","","Learn more about working at Goldline, LLC","http://www.indeed.com/cmp/Goldline-3?fromjk=7738474449d75d4b&from=serp-more&campaignid=serp-more&jcid=f445135c3ec53d28","Goldline, LLC","","Related forums: Los Angeles, California - Goldline","http://www.indeed.com/forum/loc/Los-Angeles-California.html; http://www.indeed.com/forum/cmp/Goldline-3.html","Los Angeles, California; Goldline","","1"
"http://www.indeed.com/rc/clk?jk=b0a84d27b26265e8&fccid=da34ad23cdce5dcf","Data Scientist","Data Scientist","Talent Merchants","","","","-","","","","","","","","","Santa Monica, CA","","","http://www.indeed.com/jobs?q=data+scientist+%2420%2C000%2B&l=Los+Angeles%2C+CA&rbt=Data+Scientist&rbc=Talent+Merchants&jtid=1872a3288ede048a&jcid=da34ad23cdce5dcf&limit=100&grp=tcl","+2 locations","","","We are looking for an experienced Data Scientist who can head up and develop our Data Science capabilities. Hunger to continue learning and developing as a data...","Easily apply","5 days ago - save job - email - more...","5","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Talent-Merchants-l-Santa-Monica,-CA-jobs.html","Talent Merchants jobs in Santa Monica, CA","","http://www.indeed.com/l-Santa-Monica,-CA-jobs.html","Santa Monica jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Santa+Monica%2C+CA","Data Scientist salaries in Santa Monica, CA","","Related forums: Talent Merchants - Santa Monica, California","http://www.indeed.com/forum/cmp/Talent-Merchants.html; http://www.indeed.com/forum/loc/Santa-Monica-California.html","Talent Merchants; Santa Monica, California","","","","","","1"
"http://www.indeed.com/rc/clk?jk=59829fab64e3f737&fccid=aa53b551f9df0210","Data Engineer","Data Engineer","Raytheon","http://www.indeed.com/cmp/Raytheon?from=SERP&campaignid=serp-linkcompanyname&fromjk=59829fab64e3f737&jcid=aa53b551f9df0210","Raytheon","","-","http://www.indeed.com/cmp/Raytheon/reviews?jcid=aa53b551f9df0210","4.01,200 reviews","Raytheon reviews","401.2","4","1,200 reviews","1200","-","Pasadena, CA 91107","","","","","","","The successful candidate will manage the engineering activities and data lifecycle for ocean remote sensing data....","","4 hours ago - save job - email - more...","4","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Raytheon-l-Pasadena,-CA-jobs.html","Raytheon jobs in Pasadena, CA","","http://www.indeed.com/l-Pasadena,-CA-jobs.html","Pasadena jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Engineer&l1=Pasadena%2C+CA","Data Engineer salaries in Pasadena, CA","","Learn more about working at Raytheon","http://www.indeed.com/cmp/Raytheon?fromjk=59829fab64e3f737&from=serp-more&campaignid=serp-more&jcid=aa53b551f9df0210","Raytheon","","Related forums: Raytheon - Pasadena, California","http://www.indeed.com/forum/cmp/Raytheon.html; http://www.indeed.com/forum/loc/Pasadena-California.html","Raytheon; Pasadena, California","","1"
"http://www.indeed.com/rc/clk?jk=1bf35b896c1cef5e&fccid=4755171bc9fb1025","Data Scientist Intern","Data Scientist Intern","InVenture Capital Corporation","","","","-","","","","","","","","","Santa Monica, CA","","","","","","","You will apply the algorithms and data analysis skills you learned in class, and apply them to a rich dataset that ranges from location data, network analysis,...","","19 days ago - save job - email - more...","19","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/jobs?q=Inventure+Capital+Corporation&l=Santa+Monica,+CA&nc=jasx","InVenture Capital Corporation jobs in Santa Monica, CA","","http://www.indeed.com/l-Santa-Monica,-CA-jobs.html","Santa Monica jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist+Intern&l1=Santa+Monica%2C+CA","Data Scientist Intern salaries in Santa Monica, CA","","Related forums: Santa Monica, California - InVenture Capital Corporation","http://www.indeed.com/forum/loc/Santa-Monica-California.html; http://www.indeed.com/forum/cmp/Inventure-Capital-Corporation.html","Santa Monica, California; InVenture Capital Corporation","","","","","","1"
"http://www.indeed.com/rc/clk?jk=8f242686f19047a5&fccid=53aaa6a330569a86","Junior Data Scientist","Junior Data Scientist","FabFitFun","","","","-","","","","","","","","","West Hollywood, CA","","","","","","","FabFitFun is looking for a detail-oriented, data-driven Data Scientist to help support our growing BI Team!...","","12 days ago - save job - email - more...","12","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Fabfitfun-l-West-Hollywood,-CA-jobs.html","FabFitFun jobs in West Hollywood, CA","","http://www.indeed.com/l-West-Hollywood,-CA-jobs.html","West Hollywood jobs","","Salary Search:","http://www.indeed.com/salary?q1=Junior+Data+Scientist&l1=West+Hollywood%2C+CA","Junior Data Scientist salaries in West Hollywood, CA","","Related forums: West Hollywood, California - FabFitFun","http://www.indeed.com/forum/loc/West-Hollywood-California.html; http://www.indeed.com/forum/cmp/Fabfitfun.html","West Hollywood, California; FabFitFun","","","","","","1"
"http://www.indeed.com/rc/clk?jk=bf95393901576b63&fccid=e2197a3a7520b610","Data Scientist, Product Analytics","Data Scientist, Product Analytics","Snapchat","","","","-","","","","","","","","","Los Angeles, CA","","","","","","","Apply your expertise in quantitative analysis, data mining, and the presentation of data to identify and convey key product trends and opportunities....","","30+ days ago - save job - email - more...","30","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000&radius=25&l=Los+Angeles,+CA&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Snapchat-l-Los-Angeles,-CA-jobs.html","Snapchat jobs in Los Angeles, CA","","http://www.indeed.com/l-Los-Angeles,-CA-jobs.html","Los Angeles jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Los+Angeles%2C+CA","Data Scientist salaries in Los Angeles, CA","","Learn more about working at Snapchat","http://www.indeed.com/cmp/Snapchat?fromjk=bf95393901576b63&from=serp-more&campaignid=serp-more&jcid=f2f7858fe9d20eae","Snapchat","","Related forums: Los Angeles, California - Snapchat","http://www.indeed.com/forum/loc/Los-Angeles-California.html; http://www.indeed.com/forum/cmp/Snapchat.html","Los Angeles, California; Snapchat","","1"
